Parameter,Baseline_Value,Perturbation,Perturbed_Value,Apoptosis_WT,Apoptosis_ATM_def,SL_Score,Delta_SL,Sensitivity_Index
k_apoptosis_p53,0.006,-0.5,0.003,0.08450103677045832,0.4387845504732802,5.192652862534817,1.1256914715441457,-0.5535786368849391
k_apoptosis_p53,0.006,-0.2,0.0048000000000000004,0.11959221408963915,0.5273383870228331,4.4094708927085495,0.34250950171787853,-0.42108772224469854
k_apoptosis_p53,0.006,-0.1,0.0054,0.1309877859940535,0.5536345506543316,4.226612019226473,0.15965062823580212,-0.39255506233589504
k_apoptosis_p53,0.006,0.0,0.006,0.14223585913534498,0.5784677475178358,4.066961390990671,0.0,0.0
k_apoptosis_p53,0.006,0.1,0.006600000000000001,0.15333834266604485,0.6019193686402853,3.925432857659117,-0.14152853333155413,-0.3479957632375733
k_apoptosis_p53,0.006,0.2,0.0072,0.1642971210275415,0.6240662769226384,3.798400562466489,-0.26856082852418206,-0.3301738112379317
k_apoptosis_p53,0.006,0.5,0.009000000000000001,0.1963297055313556,0.6833846248130206,3.4808009463645737,-0.5861604446260973,-0.28825473776298355
k_apoptosis_damage,0.02,-0.5,0.01,0.13225129772502311,0.5123406051799887,3.873993026860479,-0.1929683641301918,0.09489559677535402
k_apoptosis_damage,0.02,-0.2,0.016,0.1382558953344525,0.5531671193327148,4.001038205239332,-0.06592318575133937,0.08104722348406798
k_apoptosis_damage,0.02,-0.1,0.018000000000000002,0.140248180238254,0.5660017619077026,4.035715550434788,-0.031245840555882864,0.07682846614944551
k_apoptosis_damage,0.02,0.0,0.02,0.14223585913534498,0.5784677475178358,4.066961390990671,0.0,0.0
k_apoptosis_damage,0.02,0.1,0.022000000000000002,0.1442189426744507,0.5905756653132322,4.094993725244225,0.028032334253554225,0.06892697411795647
k_apoptosis_damage,0.02,0.2,0.024,0.14619744147967922,0.6023358002857474,4.120016015256117,0.05305462426544594,0.06522636824506756
k_apoptosis_damage,0.02,0.5,0.03,0.15210553536509383,0.635627977526589,4.178861577922936,0.11190018693226467,0.055028890699651764
k_survival_dna_repair,0.05,-0.5,0.025,0.14741618848932567,0.6500517924133663,4.409636411542659,0.3426750205519884,-0.1685164857040928
k_survival_dna_repair,0.05,-0.2,0.04000000000000001,0.14428213555713296,0.6070631481339231,4.207472711640991,0.14051132065031968,-0.1727473009229779
k_survival_dna_repair,0.05,-0.1,0.045000000000000005,0.14325472029277403,0.5927411104679932,4.137672456841842,0.07071106585117093,-0.1738670694239033
k_survival_dna_repair,0.05,0.0,0.05,0.14223585913534498,0.5784677475178358,4.066961390990671,0.0,0.0
k_survival_dna_repair,0.05,0.1,0.05500000000000001,0.14122550323554806,0.564268488004251,3.9955140897116537,-0.07144730127901733,-0.17567735321336175
k_survival_dna_repair,0.05,0.2,0.06,0.14022360336990036,0.5501675465185423,3.9235017022579113,-0.14345968873275972,-0.17637208094790194
k_survival_dna_repair,0.05,0.5,0.07500000000000001,0.13726814250495872,0.508676321292386,3.705712862502022,-0.3612485284886491,-0.17765033584479276
k_p53_deact,0.8,-0.5,0.4,0.24466536416349685,0.7565365833546002,3.0921278373061707,-0.9748335536845003,0.47939159483736365
k_p53_deact,0.8,-0.2,0.6400000000000001,0.1693436469387741,0.6333637746034703,3.7401094523047673,-0.3268519386859037,0.401838015243963
k_p53_deact,0.8,-0.1,0.7200000000000001,0.154412340338451,0.6038863245352255,3.910868284306735,-0.15609310668393617,0.3838076924696682
k_p53_deact,0.8,0.0,0.8,0.14223585913534498,0.5784677475178358,4.066961390990671,0.0,0.0
k_p53_deact,0.8,0.1,0.8800000000000001,0.13211794464319815,0.5563663854434834,4.211134126753363,0.14417273576269185,0.35449742916682275
k_p53_deact,0.8,0.2,0.96,0.12357825585124468,0.536997858346828,4.345407326295578,0.2784459353049069,0.34232675028798376
k_p53_deact,0.8,0.5,1.2000000000000002,0.1044400823702543,0.49112177190362405,4.702426125656724,0.6354647346660531,0.31250099205454235
k_dsb_gen,0.1,-0.5,0.05,0.14223585913534498,0.5784677475178358,4.066961390990671,0.0,-0.0
k_dsb_gen,0.1,-0.2,0.08000000000000002,0.1452356814446228,0.5955920996271122,4.100866217605119,0.033904826614447714,-0.04168324131322628
k_dsb_gen,0.1,-0.1,0.09000000000000001,0.14473156581183902,0.6007729658695753,4.1509463571383,0.08398496614762863,-0.2065054424506615
k_dsb_gen,0.1,0.0,0.1,0.14372641235303293,0.6057103336966893,4.214328624643413,0.14736723365274162,0.0
k_dsb_gen,0.1,0.1,0.11000000000000001,0.14233412942463539,0.6104152532038657,4.288607768715619,0.221646377724948,0.5449925790196822
k_dsb_gen,0.1,0.2,0.12,0.14064911742373942,0.6148981527924751,4.371859305309012,0.30489791431834057,0.3748473184350423
k_dsb_gen,0.1,0.5,0.15000000000000002,0.13454742913866244,0.6271105169950015,4.660888141896129,0.5939267509054584,0.2920739558635366
k_dsb_repair_hr,0.05,-0.5,0.025,0.14223585913534498,0.5784677475178358,4.066961390990671,0.0,-0.0
k_dsb_repair_hr,0.05,-0.2,0.04000000000000001,0.14223585913534498,0.5784677475178358,4.066961390990671,0.0,-0.0
k_dsb_repair_hr,0.05,-0.1,0.045000000000000005,0.14223585913534498,0.5784677475178358,4.066961390990671,0.0,-0.0
k_dsb_repair_hr,0.05,0.0,0.05,0.14223585913534498,0.5784677475178358,4.066961390990671,0.0,0.0
k_dsb_repair_hr,0.05,0.1,0.05500000000000001,0.14223585913534498,0.5784677475178358,4.066961390990671,0.0,0.0
k_dsb_repair_hr,0.05,0.2,0.06,0.14223585913534498,0.5784677475178358,4.066961390990671,0.0,0.0
k_dsb_repair_hr,0.05,0.5,0.07500000000000001,0.14223585913534498,0.5784677475178358,4.066961390990671,0.0,0.0
k_dsb_repair_nhej,0.03,-0.5,0.015,0.1262398532922983,0.9999831474393717,7.921295227775578,3.8543338367849067,-1.8954366497420962
k_dsb_repair_nhej,0.03,-0.2,0.024,0.12761748854599256,0.9999061351788799,7.835181107004154,3.7682197160134834,-4.632721279775393
k_dsb_repair_nhej,0.03,-0.1,0.027,0.12810159943815352,0.9998493442454011,7.805127716052606,3.7381663250619352,-9.191546134032404
k_dsb_repair_nhej,0.03,0.0,0.03,0.12859783922173912,0.9997677308975838,7.774374258137423,3.7074128671467523,0.0
k_dsb_repair_nhej,0.03,0.1,0.033,0.1291058746668289,0.999654491003856,7.742904756143498,3.6759433651528273,9.038549943690034
k_dsb_repair_nhej,0.03,0.2,0.036,0.12962528873293577,0.999502094760467,7.710702938681355,3.6437415476906843,4.479685442505645
k_dsb_repair_nhej,0.03,0.5,0.045,0.131246227481242,0.9987287536139535,7.609580654474003,3.5426192634833322,1.7421455100759566
