Drug,Target,Concentration_nM,Apoptosis_WT,Apoptosis_ATM_def,SL_Score
Peposertib + AZD6738 (NHEJ+ATR),NHEJ+ATR,3,0.2861246435928813,0.7109439132622052,2.4847349893908026
Peposertib + AZD6738 (NHEJ+ATR),NHEJ+ATR,10,0.25516276985997277,0.8106827602626588,3.1771200818502723
Peposertib + AZD6738 (NHEJ+ATR),NHEJ+ATR,30,0.2062949636153785,0.8872535094343248,4.300897578326452
Peposertib + AZD6738 (NHEJ+ATR),NHEJ+ATR,100,0.14797429772885135,0.9600142589387852,6.487709512214877
Peposertib + AZD6738 (NHEJ+ATR),NHEJ+ATR,300,0.11239213152786587,0.9973522148769048,8.87386155346317
Peposertib + AZD6738 (NHEJ+ATR),NHEJ+ATR,1000,0.09863365574885544,0.9999934529619863,10.13846080599715
Peposertib + VE-822 (NHEJ+ATR),NHEJ+ATR,1,0.2987806481939111,0.6454967064564794,2.1604367965543294
Peposertib + VE-822 (NHEJ+ATR),NHEJ+ATR,3,0.2892118215127292,0.7058664378256736,2.440655551815354
Peposertib + VE-822 (NHEJ+ATR),NHEJ+ATR,10,0.2622869370588688,0.810962693077003,3.091891278195784
Peposertib + VE-822 (NHEJ+ATR),NHEJ+ATR,30,0.2159361225380546,0.89658890486255,4.15210245661674
Peposertib + VE-822 (NHEJ+ATR),NHEJ+ATR,100,0.15433876051601528,0.9663436685797302,6.261185883240624
Peposertib + VE-822 (NHEJ+ATR),NHEJ+ATR,300,0.1148530256303559,0.9977930555692102,8.687564390166933
Peposertib + VE-822 (NHEJ+ATR),NHEJ+ATR,1000,0.0993747138551372,0.9999942302372159,10.062863996720036
